Province,Year,Month,month_english,date,malaria_cases,precip_mm,IOSD_Index,ENSO_ONI,precip_lag0,precip_lag1,precip_lag2,iosd_lag0,iosd_lag1,iosd_lag2,enso_lag0,enso_lag1,enso_lag2,Season,temp_C,temp_lag0,temp_lag1,temp_lag2,temp_lag3,temp_lag4,temp_lag5,temp_lag6,precip_lag3,iosd_lag3,enso_lag3
Inhambane,2022,5,May,2022-05-01,97784,117.306612631776,-0.033050537,-0.99,117.306612631776,155.57892694998966,138.9112576863616,-0.033050537,0.30633545,0.53408813,-0.99,-1.06,-0.99,Dry,21.785719690499484,21.785719690499484,24.30716840867643,25.513379207363837,26.949280350296583,26.290473068201983,26.680688619613647,25.564181959187543,42.42829860119059,0.25091553,-0.93
Inhambane,2022,6,June,2022-06-01,106023,101.6888119575642,-0.8946228,-0.8500000000000001,101.6888119575642,117.306612631776,155.57892694998966,-0.8946228,-0.033050537,0.30633545,-0.8500000000000001,-0.99,-1.06,Dry,19.352240840593975,19.352240840593975,21.785719690499484,24.30716840867643,25.513379207363837,26.949280350296583,26.290473068201983,26.680688619613647,138.9112576863616,0.53408813,-0.99
Inhambane,2022,7,July,2022-07-01,74332,13.252491830147042,-2.039856,-0.81,13.252491830147042,101.6888119575642,117.306612631776,-2.039856,-0.8946228,-0.033050537,-0.81,-0.8500000000000001,-0.99,Dry,19.646271025692975,19.646271025692975,19.352240840593975,21.785719690499484,24.30716840867643,25.513379207363837,26.949280350296583,26.290473068201983,155.57892694998966,0.30633545,-1.06
Inhambane,2022,8,August,2022-08-01,67829,8.342903565611389,-2.0917053,-0.91,8.342903565611389,13.252491830147042,101.6888119575642,-2.0917053,-2.039856,-0.8946228,-0.91,-0.81,-0.8500000000000001,Dry,21.23498315722854,21.23498315722854,19.646271025692975,19.352240840593975,21.785719690499484,24.30716840867643,25.513379207363837,26.949280350296583,117.306612631776,-0.033050537,-0.99
Inhambane,2022,9,September,2022-09-01,70801,11.904805748018983,-1.6678467,-1.01,11.904805748018983,8.342903565611389,13.252491830147042,-1.6678467,-2.0917053,-2.039856,-1.01,-0.91,-0.81,Dry,23.160654536000006,23.160654536000006,21.23498315722854,19.646271025692975,19.352240840593975,21.785719690499484,24.30716840867643,25.513379207363837,101.6888119575642,-0.8946228,-0.8500000000000001
Inhambane,2022,10,October,2022-10-01,63582,33.47118488524371,-1.2479248,-0.99,33.47118488524371,11.904805748018983,8.342903565611389,-1.2479248,-1.6678467,-2.0917053,-0.99,-1.01,-0.91,Dry,25.694258667804576,25.694258667804576,23.160654536000006,21.23498315722854,19.646271025692975,19.352240840593975,21.785719690499484,24.30716840867643,13.252491830147042,-2.039856,-0.81
Inhambane,2022,11,November,2022-11-01,74741,117.84952098057045,0.01864624,-0.92,117.84952098057045,33.47118488524371,11.904805748018983,0.01864624,-1.2479248,-1.6678467,-0.92,-0.99,-1.01,Wet,24.989686007852907,24.989686007852907,25.694258667804576,23.160654536000006,21.23498315722854,19.646271025692975,19.352240840593975,21.785719690499484,8.342903565611389,-2.0917053,-0.91
Inhambane,2022,12,December,2022-12-01,84154,111.81367257454896,0.67541504,-0.8300000000000001,111.81367257454896,117.84952098057045,33.47118488524371,0.67541504,0.01864624,-1.2479248,-0.8300000000000001,-0.92,-0.99,Wet,26.320549629352712,26.320549629352712,24.989686007852907,25.694258667804576,23.160654536000006,21.23498315722854,19.646271025692975,19.352240840593975,11.904805748018983,-1.6678467,-1.01
Inhambane,2023,1,January,2023-01-01,85493,95.57645072838734,1.1317139,-0.6799999999999999,95.57645072838734,111.81367257454896,117.84952098057045,1.1317139,0.67541504,0.01864624,-0.6799999999999999,-0.8300000000000001,-0.92,Wet,26.51414919782568,26.51414919782568,26.320549629352712,24.989686007852907,25.694258667804576,23.160654536000006,21.23498315722854,19.646271025692975,33.47118488524371,-1.2479248,-0.99
Inhambane,2023,2,February,2023-02-01,69077,501.8626552396698,1.1951904,-0.4300000000000001,501.8626552396698,95.57645072838734,111.81367257454896,1.1951904,1.1317139,0.67541504,-0.4300000000000001,-0.6799999999999999,-0.8300000000000001,Wet,26.185058805677627,26.185058805677627,26.51414919782568,26.320549629352712,24.989686007852907,25.694258667804576,23.160654536000006,21.23498315722854,117.84952098057045,0.01864624,-0.92
